sample_ID,brood_code,site,family,collection_date,age,temperature 
kw001.sorted.bam,T12E1,POL,T12E1,6/18/20,33,11.51278571
kw002.sorted.bam,T12E10,POL,T12E10,7/8/20,30.5,12.305
kw003.sorted.bam,T12E5,POL,T12E5,7/8/20,38,12.305
kw004.sorted.bam,T12E6,POL,T12E6,7/8/20,38,12.305
kw005.sorted.bam,T12E8,POL,T12E8,7/8/20,30.5,12.305
kw006.sorted.bam,T12E9,POL,T12E9,7/8/20,30.5,12.305
kw007.sorted.bam,T1E1,NAP,T1E1,6/9/20,34.5,11.53770588
kw008.sorted.bam,T1E10,NAP,T1E10,7/7/20,37,12.9292381
kw009.sorted.bam,T1E11,NAP,T1E11,7/7/20,37,12.9292381
kw010.sorted.bam,T1E12,NAP,T1E12,7/7/20,37,12.9292381
kw011.sorted.bam,T1E13,NAP,T1E13,7/7/20,37,12.9292381
kw012.sorted.bam,T1E14,NAP,T1E14,7/7/20,37,12.9292381
kw013.sorted.bam,T1E15,NAP,T1E15,7/7/20,37,12.9292381
kw014.sorted.bam,T1E16,NAP,T1E16,7/7/20,37,12.9292381
kw015.sorted.bam,T1E17,NAP,T1E17,6/14/20,29,11.337
kw016.sorted.bam,T1E18,NAP,T1E18,6/14/20,29,11.337
kw017.sorted.bam,T1E18_2,NAP,T1E18,6/14/20,29,11.337
kw018.sorted.bam,T1E1_2,NAP,T1E1,6/9/20,34.5,11.53770588
kw019.sorted.bam,T1E2,NAP,T1E2,6/14/20,39.5,11.337
kw020.sorted.bam,T1E2_2,NAP,T1E2,6/14/20,39.5,11.337
kw021.sorted.bam,T1E3,NAP,T1E3,6/14/20,29,11.337
kw022.sorted.bam,T1E4,NAP,T1E4,6/18/20,33,11.51278571
kw023.sorted.bam,T1E4_2,NAP,T1E4,6/18/20,33,11.51278571
kw024.sorted.bam,T1E5,NAP,T1E5,6/18/20,33,11.51278571
kw025.sorted.bam,T1E5_2,NAP,T1E5,6/18/20,33,11.51278571
kw026.sorted.bam,T1E6,NAP,T1E6,6/14/20,29,11.337
kw027.sorted.bam,T1E6_2,NAP,T1E6,6/14/20,29,11.337
kw028.sorted.bam,T1E7,NAP,T1E7,7/7/20,37,12.9292381
kw029.sorted.bam,T1E8,NAP,T1E8,6/26/20,33.5,NA
kw030.sorted.bam,T1E9,NAP,T1E9,6/26/20,33.5,NA
kw031.sorted.bam,T2E1,NAPxMON,T2E1,6/9/20,34.5,11.53770588
kw032.sorted.bam,T2E15,NAPxMON,T2E15,7/7/20,37,12.9292381
kw033.sorted.bam,T2E17,NAPxMON,T2E17,7/7/20,29.5,12.9292381
kw034.sorted.bam,T2E2,NAPxMON,T2E2,6/9/20,34.5,11.53770588
kw035.sorted.bam,T2E3,NAPxMON,T2E3,6/5/20,30.5,12.89356522
kw036.sorted.bam,T2E4,NAPxMON,T2E4,6/18/20,43.5,11.51278571
kw037.sorted.bam,T2E5,NAPxMON,T2E5,6/14/20,39.5,11.337
kw038.sorted.bam,T2E6,NAPxMON,T2E6,6/5/20,30.5,12.89356522
kw039.sorted.bam,T2E7,NAPxMON,T2E7,6/14/20,39.5,11.337
kw040.sorted.bam,T2E9,NAPxMON,T2E9,6/14/20,39.5,11.337
kw041.sorted.bam,T6E10,MON,T6E10,5/30/20,34,13.658
kw042.sorted.bam,T6E12,MON,T6E12,5/30/20,34,13.658
kw043.sorted.bam,T6E15,MON,T6E15,6/5/20,30.5,12.89356522
kw044.sorted.bam,T6E16,MON,T6E16,6/5/20,30.5,12.89356522
kw045.sorted.bam,T6E17,MON,T6E17,6/5/20,30.5,12.89356522
kw046.sorted.bam,T6E18,MON,T6E18,6/9/20,34.5,11.53770588
kw047.sorted.bam,T6E18_2,MON,T6E18,6/9/20,34.5,11.53770588
kw048.sorted.bam,T6E19,MON,T6E19,6/5/20,30.5,12.89356522
kw049.sorted.bam,T6E20,MON,T6E20,6/5/20,30.5,12.89356522
kw050.sorted.bam,T6E21,MON,T6E21,6/18/20,33,11.51278571
kw051.sorted.bam,T6E21_2,MON,T6E21,6/18/20,33,11.51278571
kw052.sorted.bam,T6E23,MON,T6E23,6/18/20,33,11.51278571
kw053.sorted.bam,T6E23_2,MON,T6E23,6/18/20,33,11.51278571
kw054.sorted.bam,T6E24,MON,T6E24,6/18/20,33,11.51278571
kw055.sorted.bam,T6E24_2,MON,T6E24,6/18/20,33,11.51278571
kw056.sorted.bam,T6E25,MON,T6E25,6/9/20,24,11.53770588
kw057.sorted.bam,T6E26,MON,T6E26,6/18/20,33,11.51278571
kw058.sorted.bam,T6E27,MON,T6E27,6/18/20,33,11.51278571
kw059.sorted.bam,T6E28,MON,T6E28,6/18/20,33,11.51278571
kw060.sorted.bam,T6E32,MON,T6E32,5/30/20,34,13.658
kw061.sorted.bam,T6E33,MON,T6E33,5/30/20,34,13.658
kw062.sorted.bam,T6E34,MON,T6E34,5/30/20,34,13.658
kw063.sorted.bam,T6E43,MON,T6E43,6/9/20,34.5,11.53770588
kw064.sorted.bam,T6E44,MON,T6E44,6/9/20,34.5,11.53770588
kw065.sorted.bam,T6E44_2,MON,T6E44,6/9/20,34.5,11.53770588
kw066.sorted.bam,T6E45,MON,T6E45,6/9/20,34.5,11.53770588
kw067.sorted.bam,T6E45_2,MON,T6E45,6/9/20,34.5,11.53770588
kw068.sorted.bam,T6E46,MON,T6E46,6/9/20,34.5,11.53770588
kw069.sorted.bam,T6E47,MON,T6E47,6/14/20,39.5,11.337
kw070.sorted.bam,T6E9,MON,T6E9,5/30/20,34,13.658
