sample_ID,brood_code,site,family,collection_date,age,temperature 
kw007,T1E1,NAP,T1E1,6/9/20,34.5,11.53770588
kw008,T1E10,NAP,T1E10,7/7/20,37,12.9292381
kw009,T1E11,NAP,T1E11,7/7/20,37,12.9292381
kw010,T1E12,NAP,T1E12,7/7/20,37,12.9292381
kw011,T1E13,NAP,T1E13,7/7/20,37,12.9292381
kw012,T1E14,NAP,T1E14,7/7/20,37,12.9292381
kw013,T1E15,NAP,T1E15,7/7/20,37,12.9292381
kw014,T1E16,NAP,T1E16,7/7/20,37,12.9292381
kw015,T1E17,NAP,T1E17,6/14/20,29,11.337
kw016,T1E18,NAP,T1E18,6/14/20,29,11.337
kw017,T1E18_2,NAP,T1E18,6/14/20,29,11.337
kw018,T1E1_2,NAP,T1E1,6/9/20,34.5,11.53770588
kw019,T1E2,NAP,T1E2,6/14/20,39.5,11.337
kw020,T1E2_2,NAP,T1E2,6/14/20,39.5,11.337
kw021,T1E3,NAP,T1E3,6/14/20,29,11.337
kw022,T1E4,NAP,T1E4,6/18/20,33,11.51278571
kw023,T1E4_2,NAP,T1E4,6/18/20,33,11.51278571
kw024,T1E5,NAP,T1E5,6/18/20,33,11.51278571
kw025,T1E5_2,NAP,T1E5,6/18/20,33,11.51278571
kw026,T1E6,NAP,T1E6,6/14/20,29,11.337
kw027,T1E6_2,NAP,T1E6,6/14/20,29,11.337
kw028,T1E7,NAP,T1E7,7/7/20,37,12.9292381
kw029,T1E8,NAP,T1E8,6/26/20,33.5,NA
kw030,T1E9,NAP,T1E9,6/26/20,33.5,NA
kw041,T6E10,MON,T6E10,5/30/20,34,13.658
kw042,T6E12,MON,T6E12,5/30/20,34,13.658
kw043,T6E15,MON,T6E15,6/5/20,30.5,12.89356522
kw044,T6E16,MON,T6E16,6/5/20,30.5,12.89356522
kw045,T6E17,MON,T6E17,6/5/20,30.5,12.89356522
kw046,T6E18,MON,T6E18,6/9/20,34.5,11.53770588
kw047,T6E18_2,MON,T6E18,6/9/20,34.5,11.53770588
kw048,T6E19,MON,T6E19,6/5/20,30.5,12.89356522
kw049,T6E20,MON,T6E20,6/5/20,30.5,12.89356522
kw050,T6E21,MON,T6E21,6/18/20,33,11.51278571
kw051,T6E21_2,MON,T6E21,6/18/20,33,11.51278571
kw052,T6E23,MON,T6E23,6/18/20,33,11.51278571
kw053,T6E23_2,MON,T6E23,6/18/20,33,11.51278571
kw054,T6E24,MON,T6E24,6/18/20,33,11.51278571
kw055,T6E24_2,MON,T6E24,6/18/20,33,11.51278571
kw056,T6E25,MON,T6E25,6/9/20,24,11.53770588
kw057,T6E26,MON,T6E26,6/18/20,33,11.51278571
kw058,T6E27,MON,T6E27,6/18/20,33,11.51278571
kw059,T6E28,MON,T6E28,6/18/20,33,11.51278571
kw060,T6E32,MON,T6E32,5/30/20,34,13.658
kw061,T6E33,MON,T6E33,5/30/20,34,13.658
kw062,T6E34,MON,T6E34,5/30/20,34,13.658
kw063,T6E43,MON,T6E43,6/9/20,34.5,11.53770588
kw064,T6E44,MON,T6E44,6/9/20,34.5,11.53770588
kw065,T6E44_2,MON,T6E44,6/9/20,34.5,11.53770588
kw066,T6E45,MON,T6E45,6/9/20,34.5,11.53770588
kw067,T6E45_2,MON,T6E45,6/9/20,34.5,11.53770588
kw068,T6E46,MON,T6E46,6/9/20,34.5,11.53770588
kw069,T6E47,MON,T6E47,6/14/20,39.5,11.337
kw070,T6E9,MON,T6E9,5/30/20,34,13.658
