From	Entry	Gene Names (primary)	Gene Ontology IDs
A0A0B6VQ48	A0A0B6VQ48	PAR	GO:0016491
A0A0H3HIJ5	A0A0H3HIJ5	bpaC	GO:0007155; GO:0009279; GO:0009986; GO:0015031; GO:0016021
A0A0R4IXF6	A0A0R4IXF6	kat2a	GO:0000123; GO:0001819; GO:0003682; GO:0003713; GO:0004402; GO:0005634; GO:0005694; GO:0005737; GO:0005813; GO:0006338; GO:0007507; GO:0007616; GO:0010484; GO:0016573; GO:0018393; GO:0043966; GO:0044154; GO:0045589; GO:0045893; GO:0045944; GO:0048167; GO:0050863; GO:0060173; GO:0060349; GO:0061035; GO:0061733; GO:0106077; GO:0106078; GO:0106227; GO:0106229; GO:0140672; GO:1903010
A0A1L8GXY4	A0A1L8GXY4	cfap43	GO:0003351; GO:0003356; GO:0005576; GO:0005737; GO:0005856; GO:0042995
A0JPI9	A0JPI9	Lrrc74a	
A1DPK7	A1DPK7	arpc3-a	GO:0003779; GO:0005634; GO:0005737; GO:0005885; GO:0030833; GO:0034314; GO:0035861; GO:0042995
A1X158	A1X158	fp-1	GO:0005576
A1Z6E0	A1Z6E0	gus	GO:0005634; GO:0005737; GO:0005938; GO:0007280; GO:0007281; GO:0007314; GO:0007315; GO:0007472; GO:0008104; GO:0019005; GO:0031466; GO:0035017; GO:0035556; GO:0043161; GO:0045495; GO:0045732; GO:0046843; GO:0048471; GO:0070449
A2ARV4	A2ARV4	Lrp2	GO:0001822; GO:0001843; GO:0003139; GO:0003148; GO:0003223; GO:0003281; GO:0005509; GO:0005615; GO:0005737; GO:0005768; GO:0005783; GO:0005794; GO:0005886; GO:0005903; GO:0005905; GO:0006897; GO:0006898; GO:0007507; GO:0007605; GO:0008283; GO:0008584; GO:0009897; GO:0009986; GO:0010165; GO:0015031; GO:0016020; GO:0016021; GO:0016197; GO:0016324; GO:0016922; GO:0017124; GO:0020028; GO:0030001; GO:0030139; GO:0030165; GO:0030424; GO:0030425; GO:0030492; GO:0030514; GO:0030900; GO:0031526; GO:0031904; GO:0031994; GO:0032991; GO:0034311; GO:0035904; GO:0042359; GO:0042562; GO:0043066; GO:0043235; GO:0044295; GO:0044321; GO:0044877; GO:0045056; GO:0045121; GO:0045177; GO:0045807; GO:0046879; GO:0050750; GO:0050769; GO:0051087; GO:0051897; GO:0060068; GO:0060976; GO:0060982; GO:0061156; GO:0061642; GO:0070447; GO:0071363; GO:0097242; GO:0140058; GO:0140077; GO:0140318; GO:1904447
A2ARZ3	A2ARZ3	Fsip2	GO:0005739; GO:0007288; GO:0030317; GO:0031514; GO:0061512; GO:0097224; GO:0097225; GO:0097228; GO:0097229
A2AVA0	A2AVA0	Svep1	GO:0001945; GO:0003017; GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0010467; GO:0016020; GO:0016477; GO:0031012; GO:0036303; GO:0048014; GO:0090136; GO:0120193
A2BFC9	A2BFC9	cfap77	GO:0005929
A2BIG9	A2BIG9	naa38	GO:0005634; GO:0005737; GO:0031417; GO:0043066
A2VDD2	A2VDD2	Dynlt5-b	
A4FU69	A4FU69	EFCAB5	GO:0005509
A4IHR1	A4IHR1	ttc30a	GO:0005879; GO:0005929; GO:0018095; GO:0030992; GO:0042073; GO:0120170
A5D7C1	A5D7C1	DDX52	GO:0003723; GO:0003724; GO:0005524; GO:0005730; GO:0016887; GO:0030490
A5D8N2	A5D8N2	dpcd	
A5D8V7	A5D8V7	ODAD3	GO:0003341; GO:0005576; GO:0005814; GO:0005929; GO:0005930; GO:0007283; GO:0007368; GO:0007420; GO:0030317; GO:0035253; GO:0035264; GO:0036064; GO:0036158; GO:0060287; GO:0061371; GO:0090660; GO:0097542; GO:0120228; GO:1902017
A5D9H7	A5D9H7	USP12	GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0006511; GO:0016579; GO:0046872
A6H767	A6H767	NAP1L1	GO:0000785; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0007399; GO:0042393; GO:0042470; GO:0050769; GO:2000179
A6H769	A6H769	RPS7	GO:0003735; GO:0005815; GO:0006364; GO:0006412; GO:0022627; GO:0032040; GO:0042274
A6H782	A6H782	TEKT3	GO:0002080; GO:0002081; GO:0005879; GO:0015630; GO:0030317; GO:0036126; GO:0060271; GO:0060294; GO:0060378
A6NE52	A6NE52	WDR97	
A6NJI9	A6NJI9	LRRC72	
A6NNX1	A6NNX1	RIIAD1	
A6QLI0	A6QLI0	EPDR1	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764
